;Date;sentiment
427;2010-04-21;-0.34858075
428;2010-04-22;-0.30229145
429;2010-04-23;-0.5929761
430;2010-04-26;-0.47978392
431;2010-04-27;-0.34598032
432;2010-04-28;-0.27832088
433;2010-04-29;-0.51349264
434;2010-04-30;-0.2919714
435;2010-05-03;-0.120106116
436;2010-05-04;-0.007455355
437;2010-05-05;-0.72082216
438;2010-05-06;-0.5976844
439;2010-05-07;-0.4871232
440;2010-05-10;-0.48350438
441;2010-05-11;-0.36031494
442;2010-05-12;-0.43343133
443;2010-05-13;-0.19520986
444;2010-05-14;-0.24830237
445;2010-05-17;-0.44206133
446;2010-05-18;-0.49271202
447;2010-05-19;-0.49718055
448;2010-05-20;-0.35793513
449;2010-05-21;-0.2810727
450;2010-05-24;-0.38932115
451;2010-05-25;-0.4466787
452;2010-05-26;-0.4716943
453;2010-05-27;-0.004456687
454;2010-05-28;-0.41127667
455;2010-06-01;0.10287329
456;2010-06-02;-0.7060432
457;2010-06-03;-0.22778992
458;2010-06-04;-0.7393238
459;2010-06-07;0.13663764
460;2010-06-08;-0.7184331
461;2010-06-09;-0.12974793
462;2010-06-10;0.048448764
463;2010-06-11;-0.23997626
464;2010-06-14;-0.015135407
465;2010-06-15;-0.24746701
466;2010-06-16;-0.04342097
467;2010-06-17;-0.17527261
468;2010-06-18;-0.42192727
469;2010-06-21;-0.40578538
470;2010-06-22;-0.49796325
471;2010-06-23;-0.065651394
472;2010-06-24;-0.41775808
473;2010-06-25;-0.40340534
474;2010-06-28;-0.46935242
475;2010-06-29;-0.23281904
476;2010-06-30;-0.039873518
477;2010-07-01;-0.287382
478;2010-07-02;-0.45132875
479;2010-07-06;-0.3196056
480;2010-07-07;-0.19669524
481;2010-07-08;-0.5100048
482;2010-07-09;-0.28253442
483;2010-07-12;-0.8805009
484;2010-07-13;-0.34390157
485;2010-07-14;-0.055253822
486;2010-07-15;-0.025548095
487;2010-07-16;-0.15270081
488;2010-07-19;-0.04174874
489;2010-07-20;-0.38417396
490;2010-07-21;0.02031362
491;2010-07-22;-0.19899414
492;2010-07-23;-0.43006474
493;2010-07-26;-0.20864347
494;2010-07-27;-0.65796864
495;2010-07-28;-0.69797987
496;2010-07-29;-0.2878062
497;2010-07-30;-0.50624186
498;2010-08-02;-0.6343903
499;2010-08-03;-0.6425381
500;2010-08-04;-0.40278754
501;2010-08-05;-0.55258656
502;2010-08-06;-0.4399303
503;2010-08-09;-0.21066447
504;2010-08-10;-0.060058843
505;2010-08-11;-0.50749385
506;2010-08-12;-0.092598855
507;2010-08-13;-0.6749896
508;2010-08-16;-0.2050403
509;2010-08-17;-0.2758267
510;2010-08-18;-0.28967902
511;2010-08-19;-0.38011375
512;2010-08-20;-0.66680014
513;2010-08-23;-0.73344916
514;2010-08-24;-0.42644253
515;2010-08-25;-0.48965892
516;2010-08-26;-0.45093685
517;2010-08-27;0.10698416
518;2010-08-30;-0.38977697
519;2010-08-31;-0.6086649
520;2010-09-01;-0.65131587
521;2010-09-02;-0.060666896
522;2010-09-03;-0.4512232
523;2010-09-07;-0.16688916
524;2010-09-08;-0.29279822
525;2010-09-09;-0.6730455
526;2010-09-10;-0.41501254
527;2010-09-13;-0.39027658
528;2010-09-14;-0.72359174
529;2010-09-15;-0.21600083
530;2010-09-16;-0.11861887
531;2010-09-17;-0.56153184
532;2010-09-20;-0.5043229
533;2010-09-21;-0.25470382
534;2010-09-22;-0.51833856
535;2010-09-23;-0.22398993
536;2010-09-24;-0.7429965
537;2010-09-27;-0.5511642
538;2010-09-28;-0.4603147
539;2010-09-29;-0.21398301
540;2010-09-30;-0.2699194
541;2010-10-01;-0.49936587
542;2010-10-04;-0.6933046
543;2010-10-05;-0.51135534
544;2010-10-06;-0.03143331
545;2010-10-07;-0.35109466
546;2010-10-08;-0.4634989
547;2010-10-11;-0.67974865
548;2010-10-12;-0.4162385
549;2010-10-13;-0.38252673
550;2010-10-14;-0.42835584
551;2010-10-15;-0.46758118
552;2010-10-18;-0.2575423
553;2010-10-19;-0.37301275
554;2010-10-20;-0.08799424
555;2010-10-21;-0.6423839
556;2010-10-22;-0.5305666
557;2010-10-25;-0.4500536
558;2010-10-26;-0.366208
559;2010-10-27;0.06207311
560;2010-10-28;-0.48139334
561;2010-10-29;-0.2899746
562;2010-11-01;-0.5287292
563;2010-11-02;-0.6266936
564;2010-11-03;-0.40102547
565;2010-11-04;-0.4537034
566;2010-11-05;-0.4880027
567;2010-11-08;-0.5575851
568;2010-11-09;-0.5271178
569;2010-11-10;-0.08492885
570;2010-11-11;-0.41302815
571;2010-11-12;-0.35719308
572;2010-11-15;-0.5127819
573;2010-11-16;-0.1394021
574;2010-11-17;-0.4723549
575;2010-11-18;-0.5856813
576;2010-11-19;-0.43617973
577;2010-11-22;-0.329676
578;2010-11-23;-0.5952157
579;2010-11-24;-0.7447577
580;2010-11-26;-0.43628508
581;2010-11-29;-0.27453497
582;2010-11-30;-0.17986381
583;2010-12-01;-0.20642562
584;2010-12-02;-0.22993615
585;2010-12-03;-0.47821584
586;2010-12-06;-0.2560846
587;2010-12-07;-0.48386723
588;2010-12-08;-0.6042348
589;2010-12-09;-0.58101714
590;2010-12-10;-0.25458717
591;2010-12-13;-0.43553266
592;2010-12-14;-0.7000526
593;2010-12-15;-0.3971358
594;2010-12-16;-0.47110382
595;2010-12-17;-0.033296388
596;2010-12-20;-0.2500275
597;2010-12-21;-0.33426887
598;2010-12-22;0.11745633
599;2010-12-23;-0.48589048
600;2010-12-27;-0.08032507
601;2010-12-28;-0.1355427
602;2010-12-29;-0.55923146
603;2010-12-30;-0.45404166
604;2010-12-31;-0.52744496
605;2011-01-03;-0.20890021
606;2011-01-04;-0.25835848
607;2011-01-05;-0.14798433
608;2011-01-06;-0.02024943
609;2011-01-07;-0.3911566
610;2011-01-10;-0.55423975
611;2011-01-11;-0.71028006
612;2011-01-12;-0.4242645
613;2011-01-13;-0.5708978
614;2011-01-14;-0.20466784
615;2011-01-18;-0.16727707
616;2011-01-19;-0.3454526
617;2011-01-20;-0.29212782
618;2011-01-21;-0.31870788
619;2011-01-24;-0.36950946
620;2011-01-25;-0.2498763
621;2011-01-26;-0.6671018
622;2011-01-27;-0.27598596
623;2011-01-28;-0.2827958
624;2011-01-31;-0.41895586
625;2011-02-01;-0.32460588
626;2011-02-02;-0.3778944
627;2011-02-03;-0.43849796
628;2011-02-04;-0.2619906
629;2011-02-07;-0.571622
630;2011-02-08;-0.13253261
631;2011-02-09;-0.301102
632;2011-02-10;-0.37558076
633;2011-02-11;-0.18209715
634;2011-02-14;-0.6340593
635;2011-02-15;-0.6092977
636;2011-02-16;-0.5501445
637;2011-02-17;-0.49753207
638;2011-02-18;-0.5005329
639;2011-02-22;-0.6599339
640;2011-02-23;-0.3288447
641;2011-02-24;-0.40171337
642;2011-02-25;-0.56594455
643;2011-02-28;-0.14331909
644;2011-03-01;-0.11910862
645;2011-03-02;-0.13999173
646;2011-03-03;-0.6113008
647;2011-03-04;-0.25937343
648;2011-03-07;-0.26152325
649;2011-03-08;-0.10639183
650;2011-03-09;-0.68083084
651;2011-03-10;-0.39514932
652;2011-03-11;-0.2648347
653;2011-03-14;-0.3400038
654;2011-03-15;-0.18609872
655;2011-03-16;-0.3489984
656;2011-03-17;-0.22599216
657;2011-03-18;-0.13264152
658;2011-03-21;-0.5916863
659;2011-03-22;-0.76299083
660;2011-03-23;-0.1946432
661;2011-03-24;-0.3923818
662;2011-03-25;-0.490869
663;2011-03-28;-0.4295079
664;2011-03-29;-0.4133998
665;2011-03-30;-0.50509185
666;2011-03-31;-0.1055873
667;2011-04-01;-0.5664519
668;2011-04-04;-0.11098413
669;2011-04-05;-0.5869783
670;2011-04-06;-0.44609803
671;2011-04-07;-0.18908374
672;2011-04-08;-0.1480405
673;2011-04-11;-0.3007808
674;2011-04-12;-0.2896132
675;2011-04-13;-0.042448886
676;2011-04-14;-0.52683127
677;2011-04-15;-0.6893743
678;2011-04-18;-0.5579195
679;2011-04-19;-0.057968922
680;2011-04-20;-0.18990205
681;2011-04-21;-0.7266955
682;2011-04-25;-0.63470215
683;2011-04-26;-0.42862016
684;2011-04-27;-0.2968057
685;2011-04-28;-0.21632402
686;2011-04-29;-0.45631704
687;2011-05-02;-0.47640052
688;2011-05-03;-0.32171914
689;2011-05-04;-0.3431729
690;2011-05-05;-0.40252954
691;2011-05-06;-0.36654788
692;2011-05-09;-0.63365734
693;2011-05-10;-0.17171118
694;2011-05-11;-0.069227494
695;2011-05-12;-0.38361055
696;2011-05-13;-0.5392113
697;2011-05-16;-0.15681897
698;2011-05-17;-0.12921831
699;2011-05-18;-0.4362665
700;2011-05-19;-0.43845743
701;2011-05-20;-0.3970608
702;2011-05-23;-0.62285244
703;2011-05-24;-0.5314684
704;2011-05-25;-0.49271527
705;2011-05-26;-0.5060215
706;2011-05-27;-0.30917594
707;2011-05-31;-0.5939952
708;2011-06-01;-0.66377056
709;2011-06-02;-0.51719064
710;2011-06-03;-0.46919078
711;2011-06-06;-0.4356936
712;2011-06-07;-0.25241274
713;2011-06-08;-0.0724041
714;2011-06-09;-0.4180777
715;2011-06-10;-0.7021185
716;2011-06-13;-0.43568358
717;2011-06-14;-0.23459241
718;2011-06-15;-0.23256989
719;2011-06-16;-0.4305579
720;2011-06-17;-0.47512278
